"Entity Name","Alternative Form of Name","Project ID","LOD ID","Entity Location","Entity Location - Object ID",Entity_Acronym,"[Related Entity] Sub-Object ID","[Related Entity] Sub Entity","[Related Entity] Sub Entity - Object ID","[Related Entity] Main Entity","[Related Entity] Main Entity - Object ID","[Related Entity] Affiliated Entity","[Related Entity] Affiliated Entity - Object ID","[Located] Sub-Object ID","[Located] Location Reference","[Located] Location Reference - Object ID","[Located] Geometry","[Located] Located"
"Biblioteka Literacka i Historyczna",,00179,,,,,16407274,,,,,,,16405692,,,,Warszawa
"Biblioteka Literacka i Historyczna|BLiH|BLiH [Biblioteka Literacka i Historyczna]",,00180,,,,,16407275,,,,,,,16405693,,,,Warszawa
"Biblioteka Literacka|BL|BL [Biblioteka Literacka]",,00181,,,,,16407276,,,,,,,16405694,,,,Warszawa
"Biblioteka Małopolska",,00182,,,,,16407277,,,,,,,16405695,,,,Kraków
"Biblioteka Myśli Społecznej wyd. dzięki pomocy ""Solidarit'e France-Pologne""",,00183,,,,,16407278,,,,,,,16405696,,,,Warszawa
"Biblioteka Nieobecnych",,00184,,,,,16407279,,,,,,,16405697,,,,"S. l."
"Biblioteka Obserwatora Wojennego",,00185,,,,,16407280,,,,,,,16405698,,,,Kraków
"Biblioteka Obserwatora Wojennego na zlec. ""Serwisu Informacyjnego"" RKS [Regionalnego Komitetu Solidarności] Małopolska",,00186,,,,,16407281,,,,,,,16405699,,,,Kraków
"Biblioteka Pamięci Józefa Piłsudskiego",,00187,,,,,16407282,,,,,,,16405700,,,,Warszawa
"Biblioteka Przyjaciół Moskali",,00188,,,,,16407283,,,,,,,16405701,,,,Warszawa
"Biblioteka Robotnika",,00189,,,,,16407284,,,,,,,16405702,,,,Gdańsk
"Biblioteka Samorządu Terytorialnego",,00190,,,,,16407285,,,,,,,16405703,,,,Warszawa
"Biblioteka Staszka",,00191,,,,,16407286,,,,,,,16405704,,,,Kraków
"Biblioteka Trzynastki ""13""",,00192,,,,,16407287,,,,,,,16405705,,,,Kraków
"Biblioteka Tygodnika Wojennego",,00193,,,,,16407288,,,,,,,16405706,,,,Warszawa
"Biblioteka Tygodnika Wojennego",,00194,,,,,16407289,,,,,,,16405707,,,,Wrocław
"Biblioteka Wartościowych Przedruków",,00195,,,,,16407290,,,,,,,16405708,,,,"S. l."
"Biblioteka Wolnej Myśli",,00196,,,,,16407291,,,,,,,16405709,,,,Kraków
BIN,,00197,,,,,16407292,,,,,,,16405710,,,,Warszawa
BIN,,00198,,,,,16407293,,,,,,,16405711,,,,"s. l."
"BIP KKP NSZZ [Krajowej Komisji Porozumiewawczej Niezależnego Samorządnego Związku Zawodowego] ""Solidarność""",,00199,,,,,16407294,,,,,,,16405712,,,,Gdańsk
"BIPS|BIPS [Biuro Informacji Prasowej ""Solidarności",,00200,,,,,16407295,,,,,,,16405713,,,,"Gdańsk|Gdańsk Warszawa"
Bis,,00201,,,,,16407296,,,,,,,16405714,,,,Warszawa
BiS,,00202,,,,,16407297,,,,,,,16405715,,,,Wrocław
"BIS [Biuro Informacji Studenckiej] Zrzeszenia Studentów Polskich",,00203,,,,,16407298,,,,,,,16405716,,,,Warszawa
"Biuletyn Centralny",,00204,,,,,16407299,,,,,,,16405717,,,,Wrocław
"Biuletyn Łódzki",,00205,,,,,16407300,,,,,,,16405718,,,,Łódź
"Biuletyn Oporu",,00206,,,,,16407301,,,,,,,16405719,,,,Warszawa
"Biuro ds. [do spraw] Szkolenia Komisji Krajowej NSZZ [Niezależnego Samorządnego Zawiązku Zawodowego] ""Solidarność""",,00207,,,,,16407302,,,,,,,16405720,,,,"S. l."
