REV,group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,alt_name_vol_2,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
y,38,Alfa,,"""Alfa""",,,,Kraków,bn_books-210-%c-550|bn_books-210-%c-34543|bn_books-210-%c-59805,,alfa|kraków
y,39,Alternativ,,"""Alternativ""",,,,Gdańsk,bn_books-210-%c-21685,,alternativ|gdańsk
y,40,Alternatywa,,"""Alternatywa""",,,,S. l.,bn_books-210-%c-11588,,alternatywa|sl
y,41,Alternatywy,,"""Alternatywy""",,,,Kraków,bn_books-210-%c-17330|bn_books-210-%c-33866|bn_books-210-%c-39644,,alternatywy|kraków
y,41,Alternatywy,,"""Alternatywy""",,,,Warszawa,bn_books-210-%c-30601|bn_books-210-%c-35173|bn_books-210-%c-78160|bn_books-210-%c-83907|bn_books-210-%c-89989,,alternatywy|warszawa
y,41,Alternatywy,,"""Alternatywy""",,,,,bn_books-225-%f-35173,,alternatywy
y,44,Amnestia,,"""Amnestia""",,,,Warszawa,bn_books-210-%c-50656|bn_books-210-%c-80739,,amnestia|warszawa
y,45,Amnesty International,,Amnesty International,,,,,cz_articles-610-$$a-2390204|cz_articles-610-$$a-2390958,,amnestyinternational
y,46,Aneks,,"""Aneks""",,,,Londyn,bn_books-210-%c-1851|bn_books-210-%c-3365|bn_books-210-%c-13931|bn_books-210-%c-13954|bn_books-210-%c-37433|bn_books-210-%c-52847|bn_books-210-%c-98213,,aneks|londyn
y,47,Antyk,,"""Antyk""",,,514,Kęty,bn_books-210-%c-79154,,antyk|kęty
y,47,Antyk,,"""Antyk""",,,514,Lublin,bn_books-210-%c-53239|bn_books-210-%c-56601,,antyk|lublin
y,47,Antyk,,"""Antyk""",,,514,Lublin | | etc.,bn_books-210-%c-1999|bn_books-210-%c-4703|bn_books-210-%c-6448|bn_books-210-%c-6473|bn_books-210-%c-6493|bn_books-210-%c-25446|bn_books-210-%c-27433|bn_books-210-%c-55659|bn_books-210-%c-87027|bn_books-210-%c-87504,,antyk|lublinetc
y,47,Antyk,,"""Antyk""",,,514,Warszawa,bn_books-210-%c-10765|bn_books-210-%c-10791|bn_books-210-%c-17186|bn_books-210-%c-23859|bn_books-210-%c-28082|bn_books-210-%c-28100|bn_books-210-%c-28561|bn_books-210-%c-39212|bn_books-210-%c-42314|bn_books-210-%c-72952|bn_books-210-%c-73076|bn_books-210-%c-80682|bn_books-210-%c-87464|bn_books-210-%c-91242|bn_books-210-%c-99531|bn_books-210-%c-103972|bn_books-210-%c-104928,,antyk|warszawa
y,51,Anty-MON,,Anty-MON,,,,Gdańsk,bn_books-210-%g-103081,,antymon|gdań
y,51,Anty-MON,,"""AntyMON""",,,,Gdańsk,bn_books-210-%c-64420,,antymon|gdańsk
y,53,Apel,,"""Apel""",,,,S. l.|S.l.,bn_books-210-%c-3521|bn_books-210-%c-54832,,apel|sl
Y,54,Archikonfraternia Literacka,AKL,AKL [Archikonfraternia Literacka,,,,Warszawa,bn_books-210-%c-28605,,aklarchikonfraternialiteracka|warszawa
y,54,Archikonfraternia Literacka,AKL,Archikonfraternia Literacka,,,,Warszawa,bn_books-210-%c-57620|bn_books-210-%c-66042|bn_books-210-%c-66073,,archikonfraternialiteracka|warszawa
y,55,Archiwum,,"""Archiwum""",,,,Warszawa,bn_books-210-%c-9160|bn_books-210-%c-78674|bn_books-210-%c-94211|bn_books-210-%c-103556|bn_books-210-%c-104822,,archiwum|warszawa
y,56,Arka,,"""Arka""",,,,Kraków,bn_books-210-%c-77357,,arka|kraków
y,57,Arka,,"""Arka""",,,,Warszawa,bn_books-210-%c-97032|bn_books-210-%c-105776,,arka|warszawa
y,58,Arka,,"""Arka""",,,,Łódź,bn_books-210-%c-15008|bn_books-210-%c-17602|bn_books-210-%c-25322|bn_books-210-%c-26111|bn_books-210-%c-26270|bn_books-210-%c-26564|bn_books-210-%c-29644|bn_books-210-%c-29655|bn_books-210-%c-36417|bn_books-210-%c-36705|bn_books-210-%c-52493|bn_books-210-%c-53726|bn_books-210-%c-65153|bn_books-210-%c-72347|bn_books-210-%c-73311|bn_books-210-%c-73322|bn_books-210-%c-75212|bn_books-210-%c-78040|bn_books-210-%c-91182|bn_books-210-%c-96189|bn_books-210-%c-96306,,arka|łódź
y,59,Akademicki Ruch Oporu NZS,ARO NZS,ARO NZS P. Wr. [Akademicki Ruch Oporu Niezależnego Zrzeszenia Studentów Politechniki Wrocławskiej,,,2001,Wrocław,bn_books-210-%c-2216,,aronzspwrakademickiruchoporuniezależnegozrzeszeniastudentówpolitechnikiwrocławskiej|wrocław
y,60,Akademicki Ruch Samoobrony,ARS,ASR [i. e. ARS - Akademicki Ruch Samoobrony],,,,Kraków,bn_books-210-%c-52164,,asriearsakademickiruchsamoobrony|kraków
y,60,Akademicki Ruch Samoobrony,ARS,ARS Akademicki Ruch Samoobrony|ARS [Akademicki Ruch Samoobrony],,,,Kraków,bn_books-210-%c-52142|bn_books-210-%c-52151,,arsakademickiruchsamoobrony|kraków
y,61,art EMISJA,,art EMISJA,,,,Warszawa,bn_books-210-%c-9828,,artemisja|warszawa
y,62,Aspekt,,"""Aspekt""",,,,Wrocław,bn_books-210-%g-12921,,aspekt|wroc
y,62,Aspekt,,"""Aspekt""|Aspekt",,,,Wrocław,bn_books-210-%c-2660|bn_books-210-%c-8017|bn_books-210-%c-8816|bn_books-210-%c-10868|bn_books-210-%c-12921|bn_books-210-%c-20037|bn_books-210-%c-20575|bn_books-210-%c-21224|bn_books-210-%c-23414|bn_books-210-%c-23429|bn_books-210-%c-23444|bn_books-210-%c-23459|bn_books-210-%c-25467|bn_books-210-%c-27676|bn_books-210-%c-29485|bn_books-210-%c-33344|bn_books-210-%c-33553|bn_books-210-%c-42804|bn_books-210-%c-44531|bn_books-210-%c-47225|bn_books-210-%c-48337|bn_books-210-%c-49977|bn_books-210-%c-50780|bn_books-210-%c-67748|bn_books-210-%c-67996|bn_books-210-%c-68088|bn_books-210-%c-69761|bn_books-210-%c-72305|bn_books-210-%c-75233|bn_books-210-%c-85790|bn_books-210-%c-87133|bn_books-210-%c-91698|bn_books-210-%c-92009|bn_books-210-%c-92847|bn_books-210-%c-94931|bn_books-210-%c-95924|bn_books-210-%c-96864|bn_books-210-%c-100493|bn_books-210-%c-104884|bn_books-210-%c-106707|pbl_books-nan-publishing_house-1395501|pbl_books-nan-publishing_house-1396241,,aspekt|wrocław
y,65,A-S,,"""A-S""",,,,Poznań,bn_books-210-%c-3226,,as|poznań
y,66,Atu,,"""Atu""",,,,S. l.,bn_books-210-%c-6641,,atu|sl
y,67,Aut'82,,"""Aut'82""|AUT'82|Aut'82",,,,Lublin,bn_books-210-%c-2779|bn_books-210-%c-37419|bn_books-210-%c-4390|bn_books-210-%c-28198,,aut82|lublin
y,68,Avia,,"""Avia""",,,,Warszawa,bn_books-210-%c-11395|bn_books-210-%c-19584|bn_books-210-%c-22587|bn_books-210-%c-34364|bn_books-210-%c-80990,,avia|warszawa
y,69,Aviva,,"""Aviva""",,,,S. l.,bn_books-210-%c-103386,,aviva|sl
y,70,Akademicka Agencja Wydawnicza,AW,AW - Akademicka Agencja Wydawnicza,,,,Szczecin,bn_books-210-%c-99494,,awakademickaagencjawydawnicza|szczecin
Y,70,Akademicka Agencja Wydawnicza,AW,Akademicka Agencja Wydawnicza,,,,Szczecin,bn_books-210-%c-12721|bn_books-210-%c-17253|bn_books-210-%c-47845|bn_books-210-%c-59962|bn_books-210-%c-70944,,akademickaagencjawydawnicza|szczecin
y,71,Awers,,"""Awers""",,,,Poznań,bn_books-210-%c-17899,,awers|poznań
y,72,Awers,,"""Awers""",,,,Warszawa,bn_books-210-%c-17196,,awers|warszawa
y,73,Azyl,,"""Azyl""",,,,Warszawa,bn_books-210-%c-11474|bn_books-210-%c-20511|bn_books-210-%c-46225,,azyl|warszawa
y,74,Baszta,,"""Baszta""",,,,Wrocław,bn_books-210-%c-103276,,baszta|wrocław
y,75,Baza,,"""Baza""",,,,Warszawa,bn_books-210-%c-209|bn_books-210-%c-28116|bn_books-210-%c-35974|bn_books-210-%c-44723|bn_books-210-%c-53442|bn_books-210-%c-54128|bn_books-210-%c-54202|bn_books-210-%c-54257|bn_books-210-%c-54278|bn_books-210-%c-54377|bn_books-210-%c-54577|bn_books-210-%c-54599|bn_books-210-%c-54653|bn_books-210-%c-54702|bn_books-210-%c-54740|bn_books-210-%c-54987|bn_books-210-%c-55012|bn_books-210-%c-85437|bn_books-210-%c-92726|bn_books-210-%c-97054|bn_books-210-%c-97979|bn_books-210-%c-101063|bn_books-210-%c-101642|bn_books-210-%c-106159|bn_books-210-%c-109148,,baza|warszawa
y,76,BBS,,BBS,,,,Warszawa,bn_books-210-%c-2412|bn_books-210-%c-34257,,bbs|warszawa
y,77,Bellona,,"""Bellona""",,,,S. l.,bn_books-210-%c-86888,,bellona|sl
y,78,Bez Cenzury,,"""Bez Cenzury""|""Bez cenzury""",,,,Warszawa,bn_books-210-%c-8535|bn_books-210-%c-89746|bn_books-210-%c-89782|bn_books-210-%c-108539|bn_books-210-%c-56525,,bezcenzury|warszawa
y,79,Bez Cięć,,"""Bez Cięć""",,,,Kraków,bn_books-210-%c-3449|bn_books-210-%c-10533|bn_books-210-%c-18154|bn_books-210-%c-33582|bn_books-210-%c-33594|bn_books-210-%c-33616|bn_books-210-%c-51450|bn_books-210-%c-58077|bn_books-210-%c-78592|bn_books-210-%c-96700,,bezcięć|kraków
Y,80,Bez Debitu,,"""Bez Debitu""",,,,Warszawa,bn_books-210-%c-33397|bn_books-210-%c-103488,,bezdebitu|warszawa
y,117,BIN,,BIN,,,,s. l.,bn_books-210-%g-47249|bn_books-210-%g-81862,,bin|sl
y,117,BIN,,BIN,,,,Warszawa,bn_books-210-%c-40491|bn_books-210-%c-94155,,bin|warszawa
Y,119,Biuro Informacji Prasowej NSZZ Solidarność,BIPS,"BIP KKP NSZZ [Krajowej Komisji Porozumiewawczej Niezależnego Samorządnego Związku Zawodowego] ""Solidarność""",,,2004,Gdańsk,bn_books-210-%c-100998,,bipkkpnszzkrajowejkomisjiporozumiewawczejniezależnegosamorządnegozwiązkuzawodowegosolidarność|gdańsk
Y,119,Biuro Informacji Prasowej NSZZ Solidarność,BIPS,"BIPS [Biuro Informacji Prasowej ""Solidarności""]",,,2004,Gdańsk,bn_books-210-%c-67008,,bipsbiuroinformacjiprasowejsolidarności|gdańsk
Y,119,Biuro Informacji Prasowej NSZZ Solidarność,BIPS,"BIP KKP NSZZ [Krajowej Komisji Porozumiewawczej Niezależnego Samorządnego Związku Zawodowego] ""Solidarność""",,,2004,Gdańsk,bn_books-210-%c-66871,,biuroinformacjiprasowejkkpnszzsolidarność|gdańsk
Y,119,Biuro Informacji Prasowej NSZZ Solidarność,BIPS,"BIP KKP NSZZ [Krajowej Komisji Porozumiewawczej Niezależnego Samorządnego Związku Zawodowego] ""Solidarność""",,,2004,Gdańsk,bn_books-210-%c-67069,,biuroinformacjiprasowejkomisjikrajowejnszzsolidarność|gdańsk
y,119,Biuro Informacji Prasowej NSZZ Solidarność,BIPS,BIPS|[BI-PS]|[BIPS],,,2004,Gdańsk,bn_books-210-%c-26014|bn_books-210-%c-26032|bn_books-210-%c-69930|bn_books-210-%c-78846|bn_books-210-%c-97260|bn_books-210-%c-77717|bn_books-210-%c-18532|bn_books-210-%c-105937,,bips|gdańsk
Y,119,Biuro Informacji Prasowej NSZZ Solidarność,BIPS,"BIPS [Biuro Informacji Prasowej ""Solidarności""]",,,2004,Gdańsk | Warszawa,bn_books-210-%c-61720,,bipsbiuroinformacjiprasowejsolidarności|gdańskwarszawa
