Wikidata_ID,name_en,name_pl
https://www.wikidata.org/wiki/Q36834,composer,kompozytor
https://www.wikidata.org/wiki/Q1415090,film score composer,kompozytor filmowy
https://www.wikidata.org/wiki/Q8142883,criminologist,kryminolog
https://www.wikidata.org/wiki/Q6430706,critic,krytyk
https://www.wikidata.org/wiki/Q4220892,film critic,krytyk filmowy
https://www.wikidata.org/wiki/Q4263842,literary critic,krytyk literacki
https://www.wikidata.org/wiki/Q1350157,music critic,krytyk muzyczny
https://www.wikidata.org/wiki/Q4164507,art critic,krytyk sztuki
https://www.wikidata.org/wiki/Q17337766,theatre critic,krytyk teatralny
https://www.wikidata.org/wiki/Q3409375,Anglican priest,ksiądz anglikański
https://www.wikidata.org/wiki/Q250867,Catholic priest,ksiądz katolicki
https://www.wikidata.org/wiki/Q1469535,Latin Catholic priest,ksiądz rzymskokatolicki
https://www.wikidata.org/wiki/Q19829999,cultural studies scholar,kulturoznawca
https://www.wikidata.org/wiki/Q780596,exhibition curator,kurator sztuki
https://www.wikidata.org/wiki/Q39631,physician,lekarz
https://www.wikidata.org/wiki/Q36180,writer,pisarz
https://www.wikidata.org/wiki/Q27349,dentist,lekarz stomatolog
https://www.wikidata.org/wiki/Q11513337,athletics competitor,lekkoatleta
https://www.wikidata.org/wiki/Q8178443,librettist,librecista
https://www.wikidata.org/wiki/Q6673651,literary,literat
https://www.wikidata.org/wiki/Q17167049,literary scholar,literaturoznawca
https://www.wikidata.org/wiki/Q16947657,lithographer,litograf
https://www.wikidata.org/wiki/Q14565331,logician,logik
https://www.wikidata.org/wiki/Q1028181,painter,malarz
https://www.wikidata.org/wiki/Q1776724,theatre manager,manager teatralny
https://www.wikidata.org/wiki/Q170790,mathematician,matematyk
https://www.wikidata.org/wiki/Q327029,mechanic,mechanik
https://www.wikidata.org/wiki/Q3332711,medievalist,mediewista
https://www.wikidata.org/wiki/Q3779582,microbiologist,mikrobiolog
https://www.wikidata.org/wiki/Q13416354,mineralogist,mineralog
https://www.wikidata.org/wiki/Q83307,minister,minister
https://www.wikidata.org/wiki/Q219477,missionary,misjonarz
https://www.wikidata.org/wiki/Q12328016,mystic,mistyk
https://www.wikidata.org/wiki/Q24387326,mythographer,mitografowie
https://www.wikidata.org/wiki/Q10333969,museologist,muzeolog
https://www.wikidata.org/wiki/Q1294626,music artist,muzyk
https://www.wikidata.org/wiki/Q14915627,musicologist,muzykolog
https://www.wikidata.org/wiki/Q372436,statesperson,mąż stanu
https://www.wikidata.org/wiki/Q2251335,school teacher,nauczyciel
https://www.wikidata.org/wiki/Q1622272,university teacher,nauczyciel akademicki
https://www.wikidata.org/wiki/Q2675537,music teacher,nauczyciel muzyki
https://www.wikidata.org/wiki/Q901,scientist,naukowiec
https://www.wikidata.org/wiki/Q6337803,neuroscientist,neurobiolog
https://www.wikidata.org/wiki/Q783906,neurologist,neurolog
https://www.wikidata.org/wiki/Q1476215,human rights activist,obrońca praw człowieka
https://www.wikidata.org/wiki/Q1344452,discoverer,odkrywca
https://www.wikidata.org/wiki/Q4002659,chevalier,oficer
https://www.wikidata.org/wiki/Q2029179,father,ojciec (prezbiter)
https://www.wikidata.org/wiki/Q12797895,occultist,okultysta
https://www.wikidata.org/wiki/Q1208175,camera operator,operator kamery
https://www.wikidata.org/wiki/Q1731155,orientalist,orientalista
https://www.wikidata.org/wiki/Q662729,public figure,osoba publiczna
https://www.wikidata.org/wiki/Q16323111,peace activist,pacyfista
https://www.wikidata.org/wiki/Q18939491,diarist,pamiętnikarz
https://www.wikidata.org/wiki/Q1231865,pedagogue,pedagog
https://www.wikidata.org/wiki/Q2449921,drama teacher,pedagog teatralny
https://www.wikidata.org/wiki/Q1919436,pediatrician,pediatra
