group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
426,Rada Polityczna KPN,,Konfederacja Polski Niepodległej,,424,Warszawa,bn_books-110-%1-41678|bn_books-110-%1-41636|bn_books-110-%1-41665|bn_books-110-%1-41725|bn_books-110-%1-41710|bn_books-110-%1-41772|bn_books-110-%1-41697|bn_books-110-%1-41653|bn_books-110-%1-41757|bn_books-210-%c-41757|bn_books-110-%1-41789|bn_books-110-%1-41742,,radapolitycznakpn|konfederacjapolskiniepodległej|warszawa
428,Konference pro bezpečnost a spolupráci v Evropě (organizace),,Konference pro bezpečnost a spolupráci v Evropě organizace,,,,cz_articles-610-$$a-2404778,,konferenceprobezpečnostaspoluprácivevropěorganizace
429,Kongres Kultury Polskiej,,,,,,bn_books-120-%1-41854,,kongreskulturypolskiej
430,Kongres PSL Polskiego Stronnictwa Ludowego,,Kongres PSL,,,Kłodzko,bn_books-210-%c-79690,,kłodzko|kongrespslpolskiegostronnictwaludowego
431,Konsorcjum Wydawnicze Polskiego Zrzeszenia Patriotycznego Targowica,,,,,Warszawa,bn_books-210-%c-65504,,konsorcjumwydawniczepolskiegozrzeszeniapatriotycznegotargowica|warszawa
432,Kontekst,,,,,Warszawa,bn_books-210-%c-7759,,kontekst|warszawa
433,Kontrakt,,,,,Warszawa|Poznań|etc.,bn_books-210-%c-54964,,poznańwarszawaetc|kontrakt
434,Kontrapunkt,,,,,S. l.,bn_books-210-%c-77980|bn_books-210-%c-4548,,sl|kontrapunkt
435,Kontra,,,,,Kraków,bn_books-210-%c-74686|bn_books-210-%c-74701|bn_books-210-%c-74670,,kontra|kraków
436,Kontra,,,,,Warszawa,bn_books-210-%c-80702|bn_books-210-%c-109315|bn_books-210-%c-55143|bn_books-210-%c-103668|bn_books-210-%c-99672,,kontra|warszawa
437,Kooperatywa Drukarzy-Wydawców na rzecz Nowej Kultury,,,,,Wrocław,bn_books-210-%c-55,,wrocław|kooperatywadrukarzywydawcównarzecznowejkultury
438,Koordynacja Wydawnicza przy RKW NSZZ Solidarność Dolny Śląsk,,Koordynacja Wydawnicza RKW|Koordynacja Wydawnicza przy RKW NSZZ Solidarność,,2009|1092|2004,Wrocław|s.l.,bn_books-210-%c-30551|bn_books-210-%c-67779|bn_books-210-%g-248,,sl|koordynacjawydawniczaprzyrkwnszzregionalnejkomisjiwykonawczejniezależnegosamorządnegozwiązkuzawodowegosolidarność|koordynacjawydawniczarkw|wrocław|koordynacjawydawniczaprzyrkwnszzregionalnejkomisjiwykonawczejniezależnegosamorządnegozwiązkuzawodowegosolidarnośćdolnyśląsk
441,Korekta,,,,,Poznań,bn_books-210-%c-68056,,poznań|korekta
442,Korzeń,,,,,Kraków,bn_books-210-%c-79224,,kraków|korzeń
444,Kosik,,,,,s. l.,bn_books-210-%g-4793,,sl|kosik
447,Wydawnictwo Społeczne Komitetu Oporu Społecznego,WSKOS,WS KOS - Wydaw. Społeczne KOS|Wydaw. Społeczne KOS|Kos - wydawnictwo społeczne nakladatelství|W S Kos,,407,Warszawa,bn_books-210-%c-77071|bn_books-210-%c-30725|bn_books-210-%c-50329|bn_books-210-%c-2559|bn_books-210-%c-80160|bn_books-210-%c-93579|bn_books-210-%c-2574|bn_books-210-%c-18548|bn_books-210-%c-26155|bn_books-210-%c-81382|bn_books-210-%c-34194|bn_books-210-%c-46090|bn_books-210-%c-6261|bn_books-210-%c-70054|bn_books-210-%c-94362|bn_books-210-%c-98358|bn_books-210-%c-98467|bn_books-210-%c-13209|bn_books-210-%c-67227|bn_books-210-%c-14912|bn_books-210-%c-94983|bn_books-210-%c-108186|bn_books-210-%c-35884|bn_books-210-%c-70071|bn_books-210-%c-69315|bn_books-210-%c-6671|bn_books-210-%c-81078|bn_books-210-%c-16333|bn_books-210-%c-85246|bn_books-210-%c-97996|bn_books-210-%c-70087|bn_books-210-%c-78532|bn_books-210-%c-102564|bn_books-210-%c-8266|cz_articles-610-$$a-2359733|bn_books-210-%c-17731|bn_books-210-%c-367|bn_books-210-%c-86582|bn_books-210-%c-109426|bn_books-210-%c-104468|bn_books-210-%c-101329|bn_books-210-%c-11438|bn_books-210-%c-105598|bn_books-210-%c-80148|cz_articles-610-$$a-2401597|bn_books-210-%c-12261|bn_books-210-%c-80203|bn_books-210-%c-78314|bn_books-210-%c-103322|bn_books-210-%c-77256|bn_books-210-%c-100598|bn_books-210-%c-62122|bn_books-210-%c-1343|bn_books-210-%c-40998|bn_books-210-%c-35907|bn_books-210-%c-72842|bn_books-210-%c-15182|bn_books-210-%c-23396|bn_books-210-%c-47797|bn_books-210-%c-70103|bn_books-210-%c-89594|bn_books-210-%c-23374|bn_books-210-%c-83212|bn_books-210-%c-5953|bn_books-210-%c-40916|bn_books-210-%c-83172|bn_books-210-%c-47815|bn_books-210-%c-63313|bn_books-210-%c-649|bn_books-210-%c-15823|bn_books-210-%c-92280|bn_books-210-%c-70020|bn_books-210-%c-26575|bn_books-210-%c-13603,,wskoswydawspołecznekos|koswydawnictwospołecznenakladatelství|wydawspołecznekos|warszawa
448,Kos,,,,,Gliwice,bn_books-210-%c-68808,,kos|gliwice
449,Kos,,,,,Kraków,bn_books-210-%c-60322|bn_books-210-%c-24544|bn_books-210-%c-61041|bn_books-210-%c-46031|bn_books-210-%c-56088|bn_books-210-%c-81591|bn_books-210-%c-2940|bn_books-210-%c-43020|bn_books-210-%c-74630|bn_books-210-%c-13233|bn_books-210-%c-18210|bn_books-210-%c-3140|bn_books-210-%c-35601|bn_books-210-%c-13422|bn_books-210-%c-58673|bn_books-210-%c-32303|bn_books-210-%c-13149|bn_books-210-%c-46015|bn_books-210-%c-4665|bn_books-210-%c-101876|bn_books-210-%c-58656|bn_books-210-%c-31967|bn_books-210-%c-56194|bn_books-210-%c-81402|bn_books-210-%c-35750|bn_books-210-%c-71232|bn_books-210-%c-35640|bn_books-210-%c-28867|bn_books-210-%c-2922|bn_books-210-%c-28179|bn_books-210-%c-60339|bn_books-210-%c-102404|bn_books-210-%c-28723|bn_books-210-%c-24966|bn_books-210-%c-72919|bn_books-210-%c-61235|bn_books-210-%c-99997|bn_books-210-%c-45930|bn_books-210-%c-107813|bn_books-210-%c-24615|bn_books-210-%c-16049,,kos|kraków
452,Koło Lwowian,,,,,Bytom|Londyn,bn_books-210-%g-93102|bn_books-210-%g-93086,,kołolwowian|londyniebytom|bytom
453,Koło Naukowe Studentów Historii Uniwersytetu Jagiellońskiego. Sekcja Historii Najnowszej,,Koło Naukowe Studentów Historii UJ . Sekcja Historii Najnowszej,,,Kraków,bn_books-210-%c-57757,,kołonaukowestudentówhistoriiujuniwersytetujagiellońskiegosekcjahistoriinajnowszej|kraków
454,Koło Nowa Kultura,,,,,Opole,bn_books-210-%c-75044,,opole|kołonowakultura
455,Koło Oporu Społecznego,,,,,Kraków,bn_books-210-%c-72245,,kraków|kołooporuspołecznego
456,Koło Uniwersyteckie Polskiej Partii Socjalistycznej na Uniwersytecie Warszawskim,,Koło Uniwersyteckie PPS na Uniwersytecie Warszawskim,,978,Warszawa,bn_books-210-%c-13359,,warszawa|kołouniwersyteckieppspolskiejpartiisocjalistycznejnauniwersyteciewarszawskim
457,Kościół Św. Stanisława Kostki,,Kościół Św. Stanisława Kostki|Kościół św. Stanisława Kostki|Parafia p. w. Św. Stanisława Kostki,,,Warszawa,bn_books-210-%c-6808|bn_books-210-%c-6712|bn_books-210-%c-63396|bn_books-210-%c-76742,,kościółświętegostanisławakostki|parafiapodwezwaniemświętegostanisławakostki|warszawa
464,Krakowska Komisja Wykonawcza NZS,KKW NZS,Krakowska Komisja Wykonawcza,,2001,Kraków,bn_books-110-%2-66593|bn_books-110-%1-66519|bn_books-110-%1-66500|bn_books-110-%1-66483|bn_books-110-%1-66593|bn_books-110-%1-66547|bn_books-110-%1-66532,,kraków|krakowskakomisjawykonawcza|niezależnezrzeszeniestudentów
466,Krakowska Oficyna Studentów,KOS,przy współpr. KOS,,,Kraków,bn_books-225-%f-90098|bn_books-210-%c-83453|bn_books-210-%c-62533|bn_books-210-%c-105683|bn_books-210-%c-577,,kraków|krakowskaoficynastudentów|przywspółprkoskrakowskiejoficynystudentów
469,Kraków,,Kraków,,,Kraków,bn_books-210-%c-2520|bn_books-210-%c-45356|bn_books-210-%c-20408|bn_books-210-%c-103900|bn_books-210-%c-73530|bn_books-210-%c-101147|bn_books-210-%c-70466|bn_books-210-%c-68331|bn_books-210-%c-76060|bn_books-210-%c-90363|bn_books-210-%c-8921|bn_books-210-%c-20386|bn_books-210-%c-97192,,kraków
470,Krameriova expedice,,,,,Praha,cz_books-264-$$b-2427907|cz_books-264-$$b-2427923|cz_books-264-$$b-2427896|cz_books-264-$$b-2426001|cz_books-264-$$b-2425961,czy,krameriovaexpedicesamizdat|praha
471,Kresy,,,,,Warszawa,bn_books-210-%c-94063|bn_books-210-%c-82250|bn_books-210-%c-96259,,kresy|warszawa
472,Kres,,,,,Białystok,bn_books-210-%c-103542,,białystok|kres
473,Kres,,,,,Gdańsk,bn_books-210-%g-64498|bn_books-210-%c-7286|bn_books-210-%c-64498|bn_books-210-%c-45885,,gdańsk|kres
474,Kret,,,,,Warszawa,bn_books-210-%c-51181|bn_books-210-%c-77909|bn_books-210-%c-21811|bn_books-210-%c-108412|bn_books-210-%c-97615|bn_books-210-%c-43407|bn_books-210-%c-80721|bn_books-210-%c-97413,,warszawa|kret
475,Kret,,,,,Wrocław,bn_books-210-%c-84045|bn_books-210-%c-102193|bn_books-210-%c-10382|bn_books-210-%c-75265|bn_books-210-%c-99085|bn_books-210-%c-50857|bn_books-210-%c-21224|bn_books-210-%c-50470|bn_books-210-%c-50453|bn_books-210-%c-20594|bn_books-210-%c-102922|bn_books-210-%c-18784|bn_books-210-%c-23491|bn_books-210-%c-70854|bn_books-210-%c-84060|bn_books-210-%c-75758|bn_books-210-%c-53281|bn_books-210-%c-19858|bn_books-210-%c-42445|bn_books-210-%c-73242|bn_books-210-%c-67374|bn_books-210-%c-25922|bn_books-210-%c-86471|bn_books-210-%c-31522,,wrocław|kret
476,Krok po Kroku,,,,,Gorzów Wielkopolski,bn_books-210-%c-67468,,krokpokroku|gorzówwielkopolski
477,Kronika Małopolska,,,,,Kraków,bn_books-210-%c-89922,,kraków|kronikamałopolska
478,Kropka,,,,,Warszawa,bn_books-210-%c-34337|bn_books-210-%c-61438,,kropka|warszawa
479,Kropla,,,,,Łódź,bn_books-210-%c-13050,,kropla|łódź
480,Krosno,,,,,Krosno,bn_books-210-%c-36076|bn_books-210-%c-58312|bn_books-210-%c-8218,,krosno
481,Krtań,,,,,Warszawa,bn_books-210-%c-32018,,krtań|warszawa
482,Kruh přátel Polsko-československé solidarity,,,,,,cz_articles-610-$$a-2421154,,kruhpřátelpolskočeskoslovenskésolidarity
483,Krzyż Nowohucki,,,,,Kraków,bn_books-210-%c-44041,,kraków|krzyżnowohucki
484,Krąg II,,,,487,Warszawa,bn_books-210-%c-38610|bn_books-210-%c-64472,,krągii|warszawa
487,Krąg,,Krąg nakladatelství,484,,Warszawa,bn_books-210-%c-71299|bn_books-210-%c-84455|bn_books-210-%c-29600|bn_books-210-%c-100064|bn_books-210-%c-11659|bn_books-210-%c-22399|bn_books-210-%c-1900|bn_books-210-%c-39398|bn_books-210-%c-17689|bn_books-210-%c-39559|bn_books-210-%c-12196|bn_books-210-%c-103175|bn_books-210-%c-43068|bn_books-210-%c-90717|bn_books-210-%c-91833|bn_books-210-%g-92315|bn_books-210-%c-55242|bn_books-210-%c-111090|bn_books-210-%c-107509|bn_books-210-%c-20017|bn_books-210-%c-23228|bn_books-210-%c-27503|bn_books-210-%c-110399|bn_books-210-%c-11418|bn_books-210-%c-100643|bn_books-210-%c-24412|bn_books-210-%c-23271|bn_books-210-%c-24432|bn_books-210-%c-22089|bn_books-210-%c-39457|bn_books-210-%c-95576|bn_books-210-%c-64665|bn_books-210-%c-32180|bn_books-210-%c-39336|bn_books-210-%c-39573|bn_books-210-%c-77331|bn_books-210-%c-30310|bn_books-210-%c-1923|bn_books-210-%c-74772|bn_books-210-%g-43602|bn_books-210-%c-45016|bn_books-210-%c-23532|bn_books-210-%c-57596|bn_books-210-%c-17710|bn_books-210-%c-106681|bn_books-210-%c-42428|bn_books-210-%c-77305|bn_books-210-%c-43091|bn_books-210-%c-98213|bn_books-210-%c-25081|bn_books-210-%c-100618|bn_books-210-%c-82384|bn_books-210-%c-60813|bn_books-210-%c-82434|bn_books-210-%c-14585|bn_books-210-%c-39491|bn_books-210-%c-69091|bn_books-210-%c-60932|bn_books-210-%c-82616|bn_books-210-%c-85912|bn_books-210-%c-37276|bn_books-210-%c-4922|bn_books-210-%c-39508|bn_books-210-%c-42400|bn_books-210-%c-14219|bn_books-210-%c-39438|bn_books-210-%c-100038|bn_books-210-%c-68384|bn_books-210-%c-96223|bn_books-210-%c-39526|bn_books-210-%c-108143|bn_books-210-%c-68551|bn_books-210-%c-60912|bn_books-210-%c-14059|bn_books-210-%c-56584|bn_books-210-%c-13931|bn_books-210-%c-24256|bn_books-210-%c-46795|bn_books-210-%c-14041|bn_books-210-%c-56036|bn_books-210-%c-84784|bn_books-210-%c-12111|bn_books-210-%c-1851|bn_books-210-%c-4513|bn_books-210-%c-12674|bn_books-210-%c-50167|bn_books-210-%c-41327|pbl_books-nan-publishing_house-1392905|bn_books-210-%c-24109|bn_books-210-%c-82471|bn_books-210-%c-41854|bn_books-210-%c-25867|bn_books-210-%c-57431|bn_books-210-%c-62305|bn_books-210-%c-14181|bn_books-210-%c-27072|bn_books-210-%c-39473|bn_books-210-%c-82416|bn_books-210-%c-107713|bn_books-210-%c-92156|bn_books-210-%c-26230|bn_books-210-%c-21837|bn_books-210-%c-32761|bn_books-210-%c-50571|bn_books-210-%c-46744|bn_books-210-%c-3365|bn_books-210-%c-29322|bn_books-210-%c-58444|bn_books-210-%g-74558|bn_books-210-%c-34638|pbl_books-nan-publishing_house-1395558|bn_books-210-%c-56116|cz_articles-610-$$a-2359430|bn_books-210-%c-709|bn_books-210-%c-23249|bn_books-210-%c-9767|pbl_books-nan-publishing_house-1395500|bn_books-210-%c-14973|bn_books-210-%c-56480|bn_books-210-%c-85517|bn_books-210-%c-82401|bn_books-210-%c-82452|bn_books-210-%c-17760|bn_books-210-%c-96943|bn_books-210-%c-39543|bn_books-210-%c-79836|bn_books-210-%c-49797|bn_books-210-%c-39417|bn_books-210-%g-58444|bn_books-210-%c-13814|bn_books-210-%c-37470|bn_books-210-%c-29580|bn_books-210-%c-68678|bn_books-210-%c-69711|bn_books-210-%c-69736|bn_books-210-%c-23799|pbl_books-nan-publishing_house-1391906|bn_books-210-%c-39587|bn_books-210-%c-29342|bn_books-210-%c-50392|bn_books-210-%c-43180|bn_books-210-%c-98606|bn_books-210-%c-13954,,warsz|krągnakladatelství|krąg|warszawa
488,Książnica Literacka,,,,,Warszawa,bn_books-210-%c-60118|bn_books-210-%c-12003|bn_books-210-%c-82800|bn_books-210-%c-24801,,książnicaliteracka|warszawa
489,Księgarnia Nasza,,,,,Łódź,bn_books-210-%c-3346|bn_books-210-%c-17442,,księgarnianasza|łódź
490,Księgarnia Polska,,,,,S. l.,bn_books-210-%c-104125,,sl|księgarniapolska
491,Księgarnia świętego Stanisława,,Księgarnia św. Stanisława,,,S. l.,bn_books-210-%c-6023,,sl|księgarniaświętegostanisława
492,Komitet Strajkowy Niezależnego Zrzeszenia Studentów Szkoły Głównej Gospodarstwa Wiejskiego,KS NZS SGGW,KS NZS SGGW,,2001,Warszawa,bn_books-210-%c-91167,,ksnzssggwkomitetstrajkowyniezależnegozrzeszeniastudentówszkołygłównejgospodarstwawiejskiego|warszawa
493,KSN,KSN,,,,Warszawa,bn_books-210-%c-66197,,ksn|warszawa
494,Komitet Samoobrony Studenckiej Zwyciężymy,KSS,KSS-Komitet Samoobrony Studenckiej Zwyciężymy,,,Wrocław,bn_books-210-%c-36657,,wrocław|ksskomitetsamoobronystudenckiejzwyciężymy
496,Kształt,,,,,Gdańsk,bn_books-210-%c-44117|bn_books-210-%c-90082|bn_books-210-%c-106302|bn_books-210-%c-14019|bn_books-210-%c-53376|bn_books-210-%c-58241|bn_books-210-%c-76425|bn_books-210-%c-53392,,gdańsk|kształt
497,Kształt,,,,,s. l.,bn_books-210-%g-102390,,sl|kształt
498,Karkonoskie Towarzystwo Wydawnicze,KTW,KTW-Karkonoskie Towarzystwo Wydawnicze,,,Jelenia Góra,bn_books-210-%c-19696|bn_books-210-%c-36808,,karkonoskietowarzystwowydawnicze|ktwkarkonoskietowarzystwowydawnicze|jeleniagóra
499,Krakowskie Towarzystwo Wydawnicze,KTW,KTW,,,Kraków,bn_books-210-%c-24566|bn_books-210-%c-1669|bn_books-210-%c-73878|bn_books-210-%c-24482|bn_books-210-%c-46997|bn_books-210-%c-57393|bn_books-210-%c-60042|bn_books-210-%c-16345|bn_books-210-%c-107459|bn_books-210-%c-28442|bn_books-210-%c-74417|bn_books-210-%c-96003|bn_books-210-%c-14504|bn_books-210-%c-4682|bn_books-210-%c-27348|bn_books-210-%c-26767|bn_books-210-%c-9085|bn_books-210-%c-58889|bn_books-210-%c-72267|bn_books-210-%c-15843|bn_books-210-%c-100674,,kraków|ktwkrakowskietowarzystwowydawnicze|krakowskietowarzystwowydawnicze
500,Kultura,,,,,,cz_books-710-$$a-2429196,,kultura
501,Kuria Metropolitalna Warszawska. Wydział Duszpasterstwa,,,,,Warszawa,bn_books-210-%c-86979,,warszawa|kuriametropolitalnawarszawskawydziałduszpasterstwa
502,Kurs,,,,,Warszawa|Łódź,bn_books-210-%c-61967|bn_books-210-%c-87896|bn_books-210-%c-67539|bn_books-210-%c-19263|bn_books-210-%c-61983|bn_books-210-%c-54670|bn_books-210-%c-17830|bn_books-210-%c-19332|bn_books-210-%c-19285|bn_books-210-%c-20212|bn_books-210-%c-89319|bn_books-210-%c-6547|bn_books-210-%c-91474|bn_books-210-%c-17850|bn_books-210-%c-54488|bn_books-210-%c-61929|bn_books-210-%c-89351|bn_books-210-%c-3762|bn_books-210-%c-89390|bn_books-210-%c-18665|bn_books-210-%c-61882|bn_books-210-%c-19242|bn_books-210-%c-20991|bn_books-210-%c-55127|bn_books-210-%c-19312|bn_books-210-%c-47552|bn_books-210-%c-69337|bn_books-210-%c-89332|bn_books-210-%c-4429|bn_books-210-%c-52570|bn_books-210-%c-71936|bn_books-210-%c-87875|bn_books-210-%c-101929|bn_books-210-%c-61949,,łódźwarszawa|warszawa|kurs
504,Kwadrat,,Kwadrat,,,Toruń,bn_books-210-%c-32441|bn_books-210-%c-35209|bn_books-210-%c-49737|bn_books-210-%c-47531|bn_books-210-%c-1647|bn_books-210-%c-31850|bn_books-210-%c-77274|bn_books-210-%c-12963,,kwadrat|toruń
505,Komisja Zakładowa NSZZ Solidarność,KZ NSZZ Solidarność,KZ NSZZ Solidarność,,2004|2018,Warszawa,bn_books-210-%c-50238,,kznszzkomisjazakładowaniezależnegosamorządnegozwiązkuzawodowegosolidarność|warszawa
508,Labour Party,,Labour Party (GB),,,,cz_articles-610-$$a-2390831,,labourpartyvelkábritánie
509,Latający uniwersytet,,,,,,cz_articles-610-$$a-2360280,,latającyuniwersytet
510,Latarnia,,,,,Gdynia,bn_books-210-%c-38189,,latarnia|gdynia
511,Lech,,,,,Piła,bn_books-210-%c-9179,,lech|piła
512,Lector,,,,,Rzeszów,bn_books-210-%c-88414,,lector|rzeszów
513,Leopolis,,,,,Katowice,bn_books-210-%c-93834,,katowice|leopolis
514,Liberalno-Demokratyczna Partia Niepodległość,LDPN,Wydaw. LDP Niepodległość|staraniem LDP Niepodległość,47|1637,,Lublin|Warszawa|Nowa Huta,bn_books-210-%c-22137|bn_books-110-%1-51428|bn_books-210-%c-97152|bn_books-210-%c-45371|bn_books-110-%1-51402|bn_books-110-%1-51416,,lublin||nowahuta|wydawldpliberalnodemokratycznejpartiiniepodległość|liberalnodemokratycznapartianiepodległość|warszawa|staraniemldpliberalnodemokratycznejpartiiniepodległość
516,Libertas,,,,,Kraków,bn_books-210-%c-76266|bn_books-210-%c-66685|bn_books-210-%c-64487|bn_books-210-%c-64184|bn_books-210-%c-87048|bn_books-210-%c-98673|bn_books-210-%c-104574|bn_books-210-%c-91811|bn_books-210-%c-22219|bn_books-210-%c-52175|bn_books-210-%c-33981|bn_books-210-%c-67506|bn_books-210-%c-32322|bn_books-210-%c-96687|bn_books-210-%c-90377|bn_books-210-%c-70007|bn_books-210-%c-50742|bn_books-210-%c-77173|bn_books-210-%c-28008|bn_books-210-%c-21747|bn_books-210-%c-21335|bn_books-210-%c-46438|bn_books-210-%c-31181|bn_books-210-%c-65164|bn_books-210-%g-96687|bn_books-210-%c-15553|bn_books-210-%c-95889|bn_books-210-%c-65710|bn_books-210-%c-88276|bn_books-210-%c-76192|bn_books-210-%c-53411|bn_books-210-%c-83541|bn_books-210-%c-77188|bn_books-210-%c-82951|bn_books-210-%c-67418|bn_books-210-%c-78818|bn_books-210-%c-105986|bn_books-210-%c-22244|bn_books-210-%c-110996|bn_books-210-%c-76177,,kraków|krak|libertas
518,Liberta,,,,,Warszawa,bn_books-210-%c-71320|bn_books-210-%c-49102|bn_books-210-%c-13832,,liberta|warszawa
519,Liberte,,Liberte|Libert~'e,,,Kraków,bn_books-210-%c-78397|bn_books-210-%c-30101|bn_books-210-%c-49968|bn_books-210-%c-88295,,kraków|liberte
520,Libraria,,,,,S. l.,bn_books-210-%c-83510,,libraria|sl
521,Libra,,,,,Kraków,bn_books-210-%c-88817,,kraków|libra
522,Liceum Ogólnokształcące im. Tadeusza Rejtana,,,,,,bn_books-110-%1-51486,,liceumogólnokształcąceimtadeuszarejtana
523,Literacka Oficynka Sitowa,,,,,Kraków,bn_books-210-%c-96734,,literackaoficynkasitowa|kraków
524,Literatura i Film,,,,,Łódź,bn_books-210-%c-101910,,łódź|literaturaifilm
525,Litery,,,,41,Łódź|Gdańsk,bn_books-210-%c-54874|bn_books-210-%c-48283|bn_books-210-%c-48301|bn_books-210-%c-87681|pbl_books-nan-publishing_house-1396234|bn_books-210-%c-2052|bn_books-210-%c-47717|bn_books-210-%c-14090|bn_books-210-%c-60303,,gdańsk|łódź|litery
527,Lithuana,,,,,Lublin,bn_books-210-%c-84229,,lublin|lithuana
528,Lithuania,,,,,S. l.,bn_books-210-%c-84249,,sl|lithuania
529,Logos,,,,,Kraków,bn_books-210-%c-27969,,kraków|logos
530,Logos,,,,,Warszawa,bn_books-210-%c-61454|bn_books-210-%c-60369|bn_books-210-%c-61214,,warszawa|logos
531,LONT-Literacka Oficyna Niezależnych Twórców,,,,,Wrocław,bn_books-210-%c-27716,,wrocław|lontliterackaoficynaniezależnychtwórców
532,LOS,,Los|LOS,,,Warszawa,bn_books-210-%c-54532|bn_books-210-%c-73498|bn_books-210-%c-50694|bn_books-210-%c-17442|bn_books-210-%c-54448|bn_books-210-%c-50675|bn_books-210-%c-75308|bn_books-210-%c-17584|bn_books-210-%c-17571|bn_books-210-%c-75286|bn_books-210-%c-2387|bn_books-210-%c-102598|bn_books-210-%c-54219|bn_books-210-%c-41275|bn_books-210-%c-54179|bn_books-210-%c-38032|bn_books-210-%c-71569|bn_books-210-%c-33281,,los|warszawa
533,Lotnia,,,,,Ełk,bn_books-210-%c-35767,,lotnia|ełk
534,Lotnia,,,,,Lublin,bn_books-210-%c-60292,,lublin|lotnia
535,Lubelska Oficyna Studentów,,,,,Lublin,bn_books-210-%c-15468,,lublin|lubelskaoficynastudentów
536,L,,,,,Kraków,bn_books-210-%c-71782,,l|kraków
537,M 1,,,,,Warszawa,bn_books-210-%c-22526,,m1|warszawa
538,Majegret,,,,,s. l.,bn_books-210-%g-18420,,sl|majegret
539,Maraton,,,,,Warszawa,bn_books-210-%c-97385|bn_books-210-%c-106569|bn_books-210-%c-107325|bn_books-210-%c-56416|bn_books-210-%c-7311|bn_books-210-%c-33079|bn_books-210-%c-87825|bn_books-210-%c-20763|bn_books-210-%c-80008|bn_books-210-%c-101084|bn_books-210-%c-45577|bn_books-210-%c-62341|bn_books-210-%c-54811|bn_books-210-%c-54634|bn_books-210-%c-54412|bn_books-210-%c-45386|bn_books-210-%c-46763|bn_books-210-%c-37191|bn_books-210-%c-53483|bn_books-210-%c-21980|bn_books-210-%c-15680|bn_books-210-%c-21944|bn_books-210-%c-11064|bn_books-210-%c-92377|bn_books-210-%c-109336|bn_books-210-%c-80427|bn_books-210-%c-109550|bn_books-210-%c-92362|bn_books-210-%c-43199|bn_books-210-%c-54469|bn_books-210-%c-53502|bn_books-210-%c-78695|bn_books-210-%c-54006|bn_books-210-%c-92766|bn_books-210-%c-14255|bn_books-210-%c-97533|bn_books-210-%c-16248|bn_books-210-%c-97300|bn_books-210-%c-32563|bn_books-210-%c-38726,,maraton|warszawa
540,Margines,,,,,Kraków,bn_books-210-%c-91952|bn_books-210-%c-88835|bn_books-210-%c-70142|bn_books-210-%c-105649|bn_books-210-%c-6983|bn_books-210-%c-6526|bn_books-210-%c-88926|bn_books-210-%c-100255|bn_books-210-%c-28458|bn_books-210-%c-70129|bn_books-210-%c-105755|bn_books-210-%c-9953|bn_books-210-%c-20350|bn_books-210-%c-74475,,kraków|margines
541,Margines,,,,,Warszawa,bn_books-210-%c-1016|bn_books-210-%c-82632|bn_books-210-%c-991|bn_books-210-%c-73087|bn_books-210-%c-85100,,warszawa|margines
544,Mała Spółdzielnia Wydawnicza,,,,,Warszawa,bn_books-210-%c-64332,,małaspółdzielniawydawnicza|warszawa
545,Mała,,,,,S. l.|Łódź,bn_books-210-%c-14865|bn_books-210-%c-25369,,sl|mała|łódź
547,Małopolski Komitet Walki o Praworządność,,,,,Kraków,bn_books-210-%c-91749|bn_books-210-%c-39175|bn_books-210-%c-85764,,kraków|małopolskikomitetwalkiopraworządność
548,MCH Band,,,,,,cz_articles-610-$$a-2394039,,mchband
549,Medium,,,,2050|1541,Lublin|Warszawa,bn_books-210-%c-65995|bn_books-210-%c-96829,,lublin|medium|warszawa
551,Melina Wydawnicza,,,,,S. l.,bn_books-210-%c-35584|bn_books-210-%c-3100,,melinawydawnicza|sl
552,Mel,,,,,Warszawa,bn_books-210-%c-8354|bn_books-210-%c-68127,,mel|warszawa
553,Metrum,,,,,Siedlce,bn_books-210-%c-37027|bn_books-210-%c-89911|bn_books-210-%c-6372|bn_books-210-%c-45078|bn_books-210-%c-46608|bn_books-210-%c-71472|bn_books-210-%c-73557|bn_books-210-%c-44993|bn_books-210-%c-55342|bn_books-210-%c-18113|bn_books-210-%c-105|bn_books-210-%c-1125|bn_books-210-%c-86|bn_books-210-%c-15087|bn_books-210-%c-6354|bn_books-210-%c-22645|bn_books-210-%c-59367,,metrum|siedlce
554,Michal Holeček,,,,,Praha,cz_books-264-$$b-2425124,tak,praha|michalholečeksamizdat
555,Michał,,,,,s.l.|S.l.,bn_books-210-%c-44550|bn_books-210-%g-44550,,sl|michał
556,Miecz i Lemiesz,,,,,Warszawa,bn_books-210-%c-38780,,mieczilemiesz|warszawa
557,Miesięcznik Małopolski,,,,,Kraków,bn_books-210-%c-76901|bn_books-210-%c-85065|bn_books-210-%c-66167|bn_books-210-%c-21862|pbl_books-nan-publishing_house-1397620|bn_books-210-%c-92621|bn_books-210-%c-105566|bn_books-210-%c-31398|bn_books-210-%c-98588|bn_books-210-%c-53905|bn_books-210-%c-5825|bn_books-210-%c-21880,,miesięcznikmałopolski|kraków
558,Milan Jelínek,,,,,Brno,cz_books-264-$$b-2430029,tak,brno|milanjelíneksamizdat
