group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
1163,Rytm,,,,,Warszawa,bn_books-210-%c-759|bn_books-225-%f-49178|bn_books-210-%c-84746|bn_books-210-%c-99219|bn_books-210-%c-72871|bn_books-210-%c-80895|bn_books-210-%c-82362|bn_books-210-%c-84325|bn_books-210-%c-78069|bn_books-210-%c-11110|bn_books-210-%c-37308|bn_books-210-%c-20840|bn_books-210-%c-8113|bn_books-210-%g-80895|bn_books-210-%c-8280|bn_books-210-%c-20904|bn_books-210-%c-79202|bn_books-210-%c-59344|bn_books-210-%c-108075|bn_books-210-%c-41803|bn_books-210-%c-80859|bn_books-210-%c-48724|bn_books-210-%c-14149|bn_books-210-%c-80845|bn_books-210-%c-12566|bn_books-210-%c-66702|bn_books-210-%c-44568|bn_books-210-%c-79438|bn_books-210-%c-8144|bn_books-210-%c-48405|bn_books-210-%c-11086|bn_books-210-%c-51199|bn_books-210-%c-102153|bn_books-210-%c-46866|pbl_books-nan-publishing_house-1396242|bn_books-210-%c-104625|bn_books-210-%c-49178|bn_books-210-%c-22761|bn_books-225-%f-72871|bn_books-210-%c-78109|bn_books-210-%c-15532|bn_books-210-%c-29363|bn_books-210-%c-78089|bn_books-210-%c-49511|bn_books-210-%c-49371|bn_books-210-%c-99194|bn_books-210-%c-51023,,rytm|warsz|warszawa
1166,Rzymskokatolickie Wydawnictwo im. Ignacego Loyoli,,Rzymskokatolickie Wydaw. im. Ignacego Loyoli,,,Warszawa,bn_books-210-%c-57451,,rzymskokatolickiewydawimignacegoloyoli|warszawa
1167,Salus,,,,,Praha,cz_books-264-$$b-2429249|cz_books-264-$$b-2429252,,salussamizdat|praha
1168,Samizdat,,,,,Warszawa,bn_books-210-%c-103592,,warszawa|samizdat
1169,Samodzielna Oficyna Literacka,,,,,Poznań,bn_books-210-%c-68103|bn_books-210-%c-58205|bn_books-210-%c-19877,,poznań|samodzielnaoficynaliteracka
1170,Samodzielna Oficyna Wydawnicza Zakładu Karnego,,Samodzielna Oficyna Wydawnicza ZK,,,Kwidzyn,bn_books-210-%c-68114,,kwidzyn|samodzielnaoficynawydawniczazkzakładukarnego
1171,Samorządna Rzeczypospolita,,,,,Wrocław,bn_books-210-%c-20636|bn_books-210-%c-80044,,wrocław|samorządnarzeczypospolita
1172,SAM,,,,,S. l.,bn_books-210-%c-10147,,sam|sl
1173,Sanacja,,,,,Warszawa,bn_books-210-%c-86740|bn_books-210-%c-32707|bn_books-210-%c-32725|bn_books-210-%c-32743,,sanacja|warszawa
1174,Savez komunista Jugoslavije,,,,,,cz_articles-610-$$a-2418729,,savezkomunistajugoslavije
1175,Studencka Agencja Wydawnicza im. Uniwersytetu Zachodnio-Pomorskiego,SAW,SAW - Studencka Agencja Wydawnicza im. Uniwersytetu Zachodnio-Pomorskiego,,,Szczecin,bn_books-210-%c-68070,,sawstudenckaagencjawydawniczaimuniwersytetuzachodniopomorskiego|szczecin
1176,Studencka Agencja Wydawnicza,SAW,SAW,,,Warszawa,bn_books-210-%c-25798,,sawstudenckaagencjawydawnicza|warszawa
1177,SDS,,,,,s. l.,bn_books-210-%g-20681,,sl|sds
1178,Sekcja Zawodowa Budownictwa Regionalnego Małopolska,,,,2017|2004,Kraków,bn_books-210-%c-69975,,kraków|sekcjazawodowabudownictwaregionalnegomałopolska
1179,Semafor,,,,,Wrocław,bn_books-210-%c-23689,,wrocław|semafor
1181,NSZZ Solidarność Stocznia Gdańska,,NSZZ Solidarność SG|SG . Solidarność,,2011|2004,Gdańsk,bn_books-210-%c-71661|bn_books-210-%c-36111,,nszzsolidarnośćsg|gdańsk|sgstoczniagdańskasolidarność
1182,Sieć Organizacji Zakładowych NSZZ Solidarność wiodących zakładów pracy,SIEĆ,,,2004,Gdańsk,bn_books-210-%c-79336,,siećorganizacjizakładowychnszzniezależnegosamorządnegozwiązkuzawodowegosolidarnośćwiodącychzakładówpracy|gdańsketc
1183,Siglum,,,,,Lublin,bn_books-210-%c-43822|bn_books-210-%c-10133,,lublin|siglum
1184,Signum,,,,,Warszawa,bn_books-210-%c-41198|bn_books-210-%c-26443|bn_books-210-%c-86933|bn_books-210-%c-31146|bn_books-210-%c-60711|bn_books-210-%c-23915|bn_books-210-%c-60619|bn_books-210-%c-60694|bn_books-210-%c-59874|bn_books-210-%c-89104|bn_books-210-%c-60636|bn_books-225-%f-79306|bn_books-210-%c-7342|bn_books-210-%c-70275|bn_books-210-%c-79306|bn_books-210-%c-60005|bn_books-210-%c-16433|bn_books-210-%c-77929|bn_books-210-%c-59607,,signum|warszawa
1186,Studencka Inicjatywa Wydawnicza,SIW,SIW - Studencka Inicjatywa Wydawnicza|SIW,,,Poznań,bn_books-210-%c-40478|bn_books-210-%c-59755|bn_books-210-%c-38373|bn_books-210-%c-100219|bn_books-210-%c-68164,,poznań|siwstudenckainicjatywawydawnicza|studenckainicjatywawydawnicza
1188,Skarżyska Oficyna Wydawnicza,SOWA,Skarżyska Oficyna Wydawnicza SOWA|SOWA - Skarżyska Oficyna Wydawnicza|Skarżyska Oficyna Wydawnicza SOWa,,,Skarżysko-Kamienna,bn_books-210-%c-106973|bn_books-210-%c-104732|bn_books-210-%c-53428|bn_books-210-%g-104712|bn_books-210-%c-14567,,sowaskarżyskaoficynawydawnicza|skarżyskaoficynawydawniczasowa|skarżyskokamienna|skarżyskaoficynawydawnicza
1190,Społeczny Komitet Nauki,SKN,SKN,,,s. l.,bn_books-225-%f-87805|bn_books-225-%f-89705|bn_books-225-%f-1538|bn_books-210-%g-81068|bn_books-225-%f-1565|bn_books-225-%f-87782|bn_books-225-%f-39716|bn_books-225-%f-34571,,sknspołecznykomitetnauki|sl|społecznykomitetnauki
1191,Skorpion,,,,,Warszawa,bn_books-210-%c-41175|bn_books-210-%c-70570,,warszawa|skorpion
1192,SKS (1. Studentský výbor Solidarity),,SKS 1. Studentský výbor Solidarity,,,,cz_articles-610-$$a-2362923,,sks1studentskývýborsolidarity
1193,Skupina A,,,,,,cz_articles-110-$$a-2356262,,skupinaa
1194,Solidarność Nauczycielska,,SN,,2032|2030|2004,Toruń|Lublin,bn_books-210-%c-93071|bn_books-210-%c-32238,,lublin|toruń|solidarnośćnauczycielska|snsolidarnośćnauczycielska
1195,[unknown publisher],,s. n.,,,Bydgoszcz,bn_books-210-%c-11889,,bydgoszcz|sn
1196,[unknown publisher],,s. n.,,,Częstochowa,bn_books-210-%c-19640|bn_books-210-%c-19625,,sn|częstochowa
1197,[unknown publisher],,s.n.|s. n.,,,Gdańsk,bn_books-210-%c-96819|bn_books-210-%c-110220|bn_books-210-%c-99317|bn_books-210-%c-95173|bn_books-210-%c-16094|bn_books-210-%c-17399|bn_books-210-%c-70484|bn_books-210-%c-74199|bn_books-210-%c-59512|bn_books-210-%c-95227|bn_books-210-%c-67247|bn_books-210-%c-8692|bn_books-210-%g-87992|bn_books-210-%c-21736|bn_books-210-%c-85311|bn_books-210-%c-72587|bn_books-210-%c-110747|bn_books-210-%c-16079|bn_books-210-%c-99811|bn_books-210-%c-95155|bn_books-210-%c-97584|bn_books-210-%c-36363|bn_books-210-%c-32858|bn_books-210-%c-83554|bn_books-210-%c-67263|bn_books-210-%c-87992|bn_books-210-%c-2953|bn_books-210-%c-95339|bn_books-210-%c-106199,,gdańsk|sn
1198,[unknown publisher],,s. n.,,,Gdynia,bn_books-210-%c-36785|bn_books-210-%c-42518|bn_books-210-%c-80538|bn_books-210-%c-106816,,sn|gdynia
1199,[unknown publisher],,s. n.,,,Gliwice,bn_books-210-%c-79137,,gliwice|sn
1200,[unknown publisher],,s. n.,,,Gniezno,bn_books-210-%c-85986,,sn|gniezno
1201,[unknown publisher],,s. n.,,,Gorzów Wielkopolski,bn_books-210-%c-83018,,sn|gorzówwielkopolski
1202,[unknown publisher],,s. n.,,,Jasna Góra,bn_books-210-%c-31567|bn_books-210-%c-46541,,jasnagóra|sn
1203,[unknown publisher],,s. n.,,,Kalisz,bn_books-210-%c-81658|bn_books-210-%c-105184|bn_books-210-%c-99441,,kalisz|sn
1204,[unknown publisher],,s. n.,,,Katowice,bn_books-210-%c-51519|bn_books-210-%c-100907|bn_books-210-%c-16595|bn_books-210-%c-61750,,sn|katowice
1205,[unknown publisher],,s. n.,,,Kielce,bn_books-210-%c-70335|bn_books-210-%c-8399,,kielce|sn
